ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,SCHOOL NO.,SCHOOL NO.,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,OPENING HOURS,開放時間,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,EMAIL ADDRESS,電郵地址,WEBSITE,網頁,RELIGION,宗教,
Kindergartens,幼稚園,HHCKLA BUDDHIST WAI KWONG KA FUK KINDERGARTEN (P.M.),香海正覺蓮社佛教慧光嘉福幼稚園(下午),SHOP KG01 G/F KA YEUNG HOUSE KA SHING COURT FANLING NEW TERRITORIES,新界粉嶺嘉盛苑嘉揚閣地下KG01號舖,114-8-3,114-8-3,22-29-35,22-29-35,831885.2,831885.2,839266.5,839266.5,587141000112,587141000112,CO-ED,男女,P.M.,下午,NORTH,北區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26832227,26832227,26832023,26832023,,,,,BUDDHISM,佛教,
Kindergartens,幼稚園,BILOK ANGLO-CHINESE KINDERGARTEN (P.M.),比諾中英文幼稚園(下午),G/F BLK 4&5 TSUI LAI GARDEN NO 9 FUNG NAM ROAD SHEUNG SHUI NT,新界上水鳳南路9號翠麗花園第4至5座地下,114-7-42,114-7-42,22-30-29,22-30-29,831266.2,831266.2,840945.6,840945.6,231088000212,231088000212,CO-ED,男女,P.M.,下午,NORTH,北區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26728681,26728681,26728691,26728691,,,http://www.bilok-holford.edu.hk,http://www.bilok-holford.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,FAIRCHILD KINDERGARTEN(P.M.),楓薈幼稚園(下午),"ALL THE SHOP 8, G/F. AND WHOLE 1/F. (INCLUDING PART OF THE FLAT ROOF ADJOINING 1/F.), KONG CHIAN TOWER,185-185B CONNAUGHT ROAD WEST, 351-351C DES VOEUX ROAD WEST AND 3-7 WHITTY STREET, HONG KONG",香港干諾道西185號至185號B德輔道西351至351號C及屈地街3-7號光前大廈地下8號舖及1樓全層(包括附設於1樓的部份平台),114-8-11,114-8-11,22-17-14,22-17-14,832102.7,832102.7,816476.5,816476.5,605026000112,605026000112,CO-ED,男女,P.M.,下午,CENTRAL AND WESTERN,中西區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,,,,,,,,,,,
Kindergartens,幼稚園,TSUNG TSIN MISSION GRACEFUL KINDERGARTEN(P.M.),崇真會美善幼稚園(下午),"G/F., PO TAK HOUSE PO LAM ESTATE TSEUNG KWAN O NEW TERRITORIES",新界將軍澳寶林邨寶德樓地下,114-15-20,114-15-20,22-19-35,22-19-35,844362.4,844362.4,820824.2,820824.2,158526000112,158526000112,CO-ED,男女,P.M.,下午,SAI KUNG,西貢區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,27015588,27015588,27016563,27016563,,,http://www.ttmgkg.edu.hk,http://www.ttmgkg.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,ANANI KINDERGARTEN(P.M.),主蔭幼稚園(下午),"UNIT B & C, PODIUM LEVEL SHOPPING CENTRE, SHEK YAM ESTATE KWAI CHUNG NEW TERRITORIES",新界葵涌石蔭邨石蔭商場平台B及C單位,114-8-21,114-8-21,22-22-15,22-22-15,832388.6,832388.6,825739.3,825739.3,540498000112,540498000112,CO-ED,男女,P.M.,下午,KWAI TSING,葵青區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,22760061,22760061,22765816,22765816,,,http://www.ssckg.edu.hk,http://www.ssckg.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,SA CHAN KWAN TUNG KINDERGARTEN (A.M.),救世軍陳昆棟幼稚園(上午),G/F & 1/F THE SALVATION ARMY HEADQUARTERS 11 WING SING LANE YAUMATEI KOWLOON,九龍油麻地永星里十一號救世軍總部地下及一樓,114-10-17,114-10-17,22-18-40,22-18-40,835713,835713,819123.2,819123.2,325198000111,325198000111,CO-ED,男女,A.M.,上午,YAU TSIM MONG,油尖旺區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,23847831,23847831,23885310,23885310,,,http://pses.salvation.org.hk/,http://pses.salvation.org.hk/,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,CREATIVE KINDERGARTEN (AEGEAN COAST)(WHOLE DAY),啓思幼稚園(愛琴)(全日),"1/F, PODIUM, AEGEAN COAST 2 KWUN TSING ROAD, SO KWUN WAT TUEN MUN NEW TERRITORIES",新界屯門掃管笏管青路2號愛琴海岸1樓平台,113-59-40,113-59-40,22-22-25,22-22-25,817482.8,817482.8,826061.1,826061.1,556246000113,556246000113,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,29495028,29495028,29495018,29495018,,,http://www.creative.edu.hk,http://www.creative.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,BUDDHIST TCFS YEUNG TAM YUEN FONG KG(P.M.),道慈佛社楊譚婉芳幼稚園(下午),G/F BLK M KAI TSUI COURT SIU SAI WAN ESTATE SIU SAI WAN HONG KONG,香港小西灣佳翠苑顯翠閣地下,114-15-4,114-15-4,22-15-42,22-15-42,843907.7,843907.7,813665.2,813665.2,325945000112,325945000112,CO-ED,男女,P.M.,下午,EASTERN,東區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,25567897,25567897,25055804,25055804,,,,,BUDDHISM,佛教,
Kindergartens,幼稚園,EXCEL LONDON HOUSE INTERNATIONAL KINDERGARTEN(P.M.),倫敦家國際幼稚園(下午),LEVEL 3 SHATIN PARK STAGE 1 8-12 SHA KOK STREET SHATIN NEW TERRITORIES,新界沙田沙角街8-12號花園城第一期三樓,114-11-50,114-11-50,22-22-46,22-22-46,838357.8,838357.8,826690.1,826690.1,598054000112,598054000112,CO-ED,男女,P.M.,下午,SHA TIN,沙田區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,34640638,34640638,34640639,34640639,,,,,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,SHEUNG SHUI RHENISH CHURCH KINDERGARTEN(P.M.),上水禮賢會幼稚園(下午),"UNIT 101-107 & 109-111, G/F CHOI WAH HOUSE, CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES",新界上水彩園邨彩華樓地下101-107及109-111號,114-7-35,114-7-35,22-29-60,22-29-60,831069.7,831069.7,840039.2,840039.2,157406000112,157406000112,CO-ED,男女,P.M.,下午,NORTH,北區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26732929,26732929,26721066,26721066,,,,,PROTESTANTISM / CHRISTIANITY,基督教,
